meeting date,track,race number,start time,distance,age restrictions,class restrictions,weight restrictions,race prizemoney,sex restrictions,weight type,race name,jockeys can claim,horse name,horse age,horse sex,horse sire,horse dam,horse number,horse jockey,horse barrier,horse trainer,horse weight,horse claim,horse last10,horse record,horse record distance,horse record track,horse record track distance,horse record firm,horse record good,horse record soft,horse record heavy,horse record jumps,horse record first up,horse record second up,horse prize money,form barrier,form class,form distance,form jockey,form margin,form meeting date,form name,form other runners,form position,form price,form time,form track,form track condition,form weight,horse record synthetic,meeting id, race id, horse id, horse trainer id, horse jockey id, form trainer id, form jockey id,prizemoney,sectional,prizemoney won,country
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,1,Bench. 84,1420,D Bates,3.3,20/06/26,2026 Country Achiever Cindy Alderson (Bm84),1-Ten Commandments,5,14,01:25.06,Flemington,Soft 7,56.5,2:1-0-0,240628,1350505,976971,29104,15179,26371,15750,$80000,36.54sec 600m,$2400,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,4,Bench. 100,1440,Ms D Keane,1.7,09/05/26,Evergreen Turf (Bm100),1-Brave One,6,5.5,01:26.99,Caulfield,Soft 7,50,2:1-0-0,239417,1341343,976971,29104,15179,26371,17092,$150000,35.82sec 600m,$3000,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,7,Bench. 78,1400,L Cartwright,0.4,25/04/26,William Newton VC (Bm78),2-Lovelycut,1,31,01:22.96,Flemington,Good 3,55,2:1-0-0,239019,1338484,976971,29104,15179,26371,17383,$130000,33.61sec 600m,$71500,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,5,Bench. 70,1200,R Mc Leod,4.1,03/04/26,Ladbrokes Racing Extras In Multi (Bm70),1-Lim's Bighorn,6,7.5,01:11.40,Cranbourne,Good 3,62,2:1-0-0,238449,1334502,976971,29104,15179,26371,11899,$40000,34.79sec 600m,$800,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,1,Bench. 78,1200,R Mc Leod,2.2,20/02/26,Minuteman Press Narre Warren (Bm78),1-Laa De Sha,4,4.4,01:10.31,Cranbourne,Good 4,58,2:1-0-0,237471,1326882,976971,29104,15179,26371,11899,$40000,35.19sec 600m,$2000,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,2,Bench. 84,1100,J Mott,3.5,31/01/26,Remembering Noel Cooper (Bm84),1-Gallant Son,7,26,01:03.71,Caulfield,Good 4,56,2:1-0-0,237032,1323651,976971,29104,15179,26371,13251,$130000,34.71sec 600m,$2600,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,10,Open,1300,Ms L J Meech,6.8,09/11/25,Programmed Ararat Bowl,1-Run Harry Run,6,4.2,01:16.35,Ararat,Good 3,54,2:1-0-0,235194,1309990,976971,29104,15179,26371,12035,$80000,34.50sec 600m,$1600,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,2,Bench. 80,1200,R Mc Leod,0.7,24/10/25,Sweeney Estate Agents Country Cup Final (Bm80),1-Royal Lass,3,4.6,01:10.38,Moonee Valley,Good 4,58.5,2:1-0-0,234688,1306783,976971,29104,15179,26371,11899,$150000,35.27sec 600m,$13500,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,12,Bench. 78,1200,R Mc Leod,0.9,04/10/25,TAB We're On (Bm78),1-De Bergerac,4,21,01:09.83,Flemington,Good 4,59.5,2:1-0-0,234083,1302405,976971,29104,15179,26371,11899,$80000,33.31sec 600m,$4000,AUS
01/08/2026 00:00:00,Belmont Park,1,01-Aug-2026 12:23,1200,3yo+,BenchMark 72+,54,Of $80000  -  1st  $43840 | 2nd  $14880| 3rd  $7040| 4th  $3120| 5th  $2320,,Handicap,Mrs Mac's (Bm72+),Apprentices Can Claim,Capper Thirtynine,6,Gelding,Vancouver,Artwear,3,Chris Parnham,2,Aaron Mitchell,56.5,0,4436746165,34:7-4-4,12: 2-1-2,0: 0-0-0,0: 0-0-0,0:0-0-0,20:4-3-2,10:2-1-2,2:0-0-0,0:0-0-0,4:1-1-1,3:0-0-1,$361 090,10,Bench. 84,1200,D Bates,0.8,26/09/25,MSC Signs (Bm84),1-Charcoals,4,7.5,01:11.15,Moonee Valley,Good 4,56.5,2:1-0-0,233906,1301003,976971,29104,15179,26371,15750,$130000,35.68sec 600m,$6500,AUS
